gameid,gameid_num,away,home,tm,line,player_code,pos,min,fgm,fga,3pm,3pa,ftm,fta,+/-,off,def,tot,ast,pf,st,to,bs,ba,pts
20141210BKNCHI,0021400320,BKN,CHI,BKN,500,total,,240,29,88,3,14,19,24,,15,29,44,16,25,9,11,5,11,80
20141210BKNCHI,0021400320,BKN,CHI,CHI,-700,total,,240,37,79,8,22,23,32,,15,42,57,21,18,6,15,11,5,105
20141210PORMIN,0021400321,POR,MIN,POR,-700,total,,240,31,80,10,35,10,12,,11,27,38,20,25,7,20,10,3,82
20141210PORMIN,0021400321,POR,MIN,MIN,500,total,,240,32,81,1,12,25,33,,20,36,56,22,19,13,18,3,10,90
20141210NYKSAS,0021400322,NYK,SAS,NYK,450,total,,240,37,76,6,15,15,17,,10,26,36,22,25,4,17,1,4,95
20141210NYKSAS,0021400322,NYK,SAS,SAS,-600,total,,240,37,73,10,19,25,30,,8,27,35,22,16,10,9,4,1,109
20141210NOPDAL,0021400323,NOP,DAL,NOP,260,total,,240,40,88,7,18,20,24,,16,29,45,16,20,5,11,3,5,107
20141210NOPDAL,0021400323,NOP,DAL,DAL,-320,total,,240,44,83,9,21,15,17,,5,24,29,17,18,5,8,5,3,112
20141210HOUGSW,0021400324,HOU,GSW,HOU,400,total,,240,37,90,9,35,10,15,,12,32,44,15,17,9,15,2,5,93
20141210HOUGSW,0021400324,HOU,GSW,GSW,-500,total,,240,40,81,8,23,17,20,,6,37,43,21,16,9,15,5,2,105
20141210MIADEN,0021400325,MIA,DEN,MIA,200,total,,240,30,82,7,22,15,21,,16,26,42,18,20,1,10,6,4,82
20141210MIADEN,0021400325,MIA,DEN,DEN,-240,total,,240,38,85,8,23,18,27,,17,33,50,21,18,7,10,4,6,102
20141211CLEOKC,0021400326,CLE,OKC,CLE,260,total,,240,31,85,9,28,23,30,,15,33,48,20,20,5,14,4,11,94
20141211CLEOKC,0021400326,CLE,OKC,OKC,-320,total,,240,38,87,7,26,20,22,,11,35,46,22,23,9,11,11,4,103
20141211HOUSAC,0021400327,HOU,SAC,HOU,-115,total,,265,38,95,15,44,22,31,,14,28,42,18,27,13,14,3,4,113
20141211HOUSAC,0021400327,HOU,SAC,SAC,-105,total,,265,39,84,8,18,23,34,,11,33,44,22,23,8,21,4,3,109
20141212PORCHI,0021400328,POR,CHI,POR,115,total,,240,43,88,12,24,8,11,,11,26,37,20,17,3,10,5,3,106
20141212PORCHI,0021400328,POR,CHI,CHI,-135,total,,240,44,88,5,15,22,28,,14,33,47,18,11,5,7,3,5,115
20141212LACWAS,0021400329,LAC,WAS,LAC,-140,total,,240,32,75,6,20,26,31,,12,25,37,14,20,7,18,2,6,96
20141212LACWAS,0021400329,LAC,WAS,WAS,120,total,,240,39,80,9,16,17,21,,9,28,37,28,25,10,14,6,2,104
20141212ORLATL,0021400330,ORL,ATL,ORL,375,total,,240,30,77,9,26,12,16,,9,37,46,14,27,3,18,4,3,81
20141212ORLATL,0021400330,ORL,ATL,ATL,-475,total,,240,29,78,9,29,20,27,,5,37,42,24,12,12,12,3,4,87
20141212NYKBOS,0021400331,NYK,BOS,NYK,230,total,,240,40,81,6,16,15,18,,11,29,40,26,20,13,13,5,3,101
20141212NYKBOS,0021400331,NYK,BOS,BOS,-270,total,,240,37,85,7,22,14,18,,12,29,41,28,18,3,17,3,5,95
20141212PHIBKN,0021400332,PHI,BKN,PHI,250,total,,240,22,69,11,28,15,20,,10,27,37,18,20,10,23,4,5,70
20141212PHIBKN,0021400332,PHI,BKN,BKN,-300,total,,240,36,81,5,20,11,17,,13,34,47,25,15,16,17,5,4,88
20141212INDTOR,0021400333,IND,TOR,IND,350,total,,240,33,80,8,22,20,23,,6,33,39,24,22,4,12,7,3,94
20141212INDTOR,0021400333,IND,TOR,TOR,-450,total,,240,38,91,10,26,20,22,,16,36,52,21,23,2,10,3,7,106
20141212CHAMEM,0021400334,CHA,MEM,CHA,450,total,,290,41,98,6,17,19,27,,13,36,49,16,29,8,14,11,9,107
20141212CHAMEM,0021400334,CHA,MEM,MEM,-600,total,,290,39,85,6,13,29,38,,7,40,47,21,22,7,20,9,11,113
20141212OKCMIN,0021400335,OKC,MIN,OKC,350,total,,240,45,88,6,24,15,20,,16,31,47,23,23,11,17,6,9,111
20141212OKCMIN,0021400335,OKC,MIN,MIN,-450,total,,240,36,78,1,7,19,29,,9,22,31,21,16,11,15,9,6,92
20141212CLENOP,0021400336,CLE,NOP,CLE,105,total,,240,44,89,8,22,18,23,,11,29,40,22,19,6,6,6,6,114
20141212CLENOP,0021400336,CLE,NOP,NOP,-125,total,,240,44,79,12,28,19,25,,6,33,39,21,15,5,7,6,6,119
20141212DETPHX,0021400337,DET,PHX,DET,400,total,,240,40,84,4,15,21,27,,13,34,47,17,18,11,18,3,5,105
20141212DETPHX,0021400337,DET,PHX,PHX,-500,total,,240,39,83,10,31,15,19,,10,27,37,16,24,11,17,5,3,103
20141212MIAUTA,0021400338,MIA,UTA,MIA,105,total,,240,36,72,7,20,21,31,,7,28,35,19,16,6,9,3,6,100
20141212MIAUTA,0021400338,MIA,UTA,UTA,-125,total,,240,34,77,8,28,19,22,,12,32,44,16,18,4,11,6,3,95
20141212LALSAS,0021400339,LAL,SAS,LAL,700,total,,265,44,96,12,24,12,15,,14,35,49,27,19,11,14,4,5,112
20141212LALSAS,0021400339,LAL,SAS,SAS,-1000,total,,265,42,90,12,31,14,21,,12,35,47,23,16,10,19,5,4,110
20141213GSWDAL,0021400340,GSW,DAL,GSW,100,total,,240,37,83,10,32,21,27,,9,36,45,21,24,7,13,7,0,105
20141213GSWDAL,0021400340,GSW,DAL,DAL,-120,total,,240,36,89,5,25,21,30,,17,36,53,14,23,11,15,0,7,98
20141213BKNCHA,0021400341,BKN,CHA,BKN,160,total,,240,42,72,16,23,14,20,,4,39,43,29,24,4,13,4,4,114
20141213BKNCHA,0021400341,BKN,CHA,CHA,-180,total,,240,31,79,8,22,17,27,,9,25,34,16,19,3,6,4,4,87
20141213PORIND,0021400342,POR,IND,POR,-200,total,,240,40,90,5,17,10,12,,11,35,46,21,21,9,12,5,2,95
20141213PORIND,0021400342,POR,IND,IND,170,total,,240,34,88,4,15,13,16,,12,37,49,16,18,8,13,2,5,85
20141213ATLORL,0021400343,ATL,ORL,ATL,-150,total,,240,35,84,8,27,21,24,,9,32,41,24,19,4,10,4,6,99
20141213ATLORL,0021400343,ATL,ORL,ORL,130,total,,240,37,74,10,21,16,21,,7,29,36,26,15,6,15,6,4,100
20141213LACMIL,0021400344,LAC,MIL,LAC,-240,total,,240,39,91,14,29,14,19,,10,25,35,24,24,8,12,3,4,106
20141213LACMIL,0021400344,LAC,MIL,MIL,200,total,,240,43,76,7,11,18,24,,6,33,39,25,19,3,15,4,3,111
20141213MEMPHI,0021400345,MEM,PHI,MEM,-700,total,,265,45,93,11,26,19,27,,9,33,42,33,24,9,14,4,4,120
20141213MEMPHI,0021400345,MEM,PHI,PHI,500,total,,265,40,82,11,28,24,34,,10,35,45,22,24,11,16,4,4,115
20141213DENHOU,0021400346,DEN,HOU,DEN,250,total,,240,36,96,7,28,17,26,,15,36,51,24,26,7,15,7,7,96
20141213DENHOU,0021400346,DEN,HOU,HOU,-300,total,,240,39,88,10,34,20,34,,13,39,52,20,21,8,14,7,7,108
20141213DETSAC,0021400347,DET,SAC,DET,200,total,,240,35,79,6,20,19,23,,8,35,43,22,18,10,13,9,7,95
20141213DETSAC,0021400347,DET,SAC,SAC,-240,total,,240,33,93,11,29,13,19,,22,33,55,21,18,4,16,7,9,90
20141214GSWNOP,0021400348,GSW,NOP,GSW,-280,total,,265,44,86,11,24,29,35,,8,38,46,22,19,7,19,9,6,128
20141214GSWNOP,0021400348,GSW,NOP,NOP,240,total,,265,47,101,8,27,20,25,,12,32,44,22,27,14,13,6,9,122
20141214CHIMIA,0021400349,CHI,MIA,CHI,-300,total,,240,33,71,9,18,18,21,,8,36,44,21,18,4,19,8,5,93
20141214CHIMIA,0021400349,CHI,MIA,MIA,250,total,,240,28,80,4,22,15,18,,13,27,40,12,22,13,13,5,8,75
20141214UTAWAS,0021400350,UTA,WAS,UTA,600,total,,240,30,78,5,17,19,28,,12,33,45,13,18,8,17,7,9,84
20141214UTAWAS,0021400350,UTA,WAS,WAS,-800,total,,240,41,84,4,13,7,12,,10,31,41,20,21,11,15,9,7,93
