gameid_num,gameid,away,home
0021300477,20140102NYKSAS,NYK,SAS
0021300478,20140102MEMPHX,MEM,PHX
0021300479,20140102MILUTA,MIL,UTA
0021300480,20140102CHAPOR,CHA,POR
0021300481,20140102PHISAC,PHI,SAC
0021300482,20140103TORWAS,TOR,WAS
0021300483,20140103GSWATL,GSW,ATL
0021300484,20140103NOPBOS,NOP,BOS
0021300485,20140103NYKHOU,NYK,HOU
0021300486,20140103LACDAL,LAC,DAL
0021300487,20140103MEMDEN,MEM,DEN
0021300488,20140103UTALAL,UTA,LAL
0021300489,20140104NOPIND,NOP,IND
0021300490,20140104MIAORL,MIA,ORL
0021300491,20140104CLEBKN,CLE,BKN
0021300492,20140104ATLCHI,ATL,CHI
0021300493,20140104OKCMIN,OKC,MIN
0021300494,20140104LACSAS,LAC,SAS
0021300495,20140104MILPHX,MIL,PHX
0021300496,20140104PHIPOR,PHI,POR
0021300497,20140104CHASAC,CHA,SAC
0021300498,20140105MEMDET,MEM,DET
0021300499,20140105INDCLE,IND,CLE
0021300500,20140105TORMIA,TOR,MIA
0021300501,20140105GSWWAS,GSW,WAS
0021300502,20140105BOSOKC,BOS,OKC
0021300503,20140105NYKDAL,NYK,DAL
0021300504,20140105DENLAL,DEN,LAL
0021300505,20140106MINPHI,MIN,PHI
0021300506,20140106ATLBKN,ATL,BKN
0021300507,20140106ORLLAC,ORL,LAC
0021300508,20140107WASCHA,WAS,CHA
0021300509,20140107PHICLE,PHI,CLE
0021300510,20140107TORIND,TOR,IND
0021300511,20140107NOPMIA,NOP,MIA
0021300512,20140107DETNYK,DET,NYK
0021300513,20140107PHXCHI,PHX,CHI
0021300514,20140107SASMEM,SAS,MEM
0021300515,20140107GSWMIL,GSW,MIL
0021300516,20140107LALDAL,LAL,DAL
0021300517,20140107BOSDEN,BOS,DEN
0021300518,20140107OKCUTA,OKC,UTA
0021300519,20140107PORSAC,POR,SAC
0021300520,20140108DALSAS,DAL,SAS
0021300521,20140108DETTOR,DET,TOR
0021300522,20140108INDATL,IND,ATL
0021300523,20140108GSWBKN,GSW,BKN
0021300524,20140108PHXMIN,PHX,MIN
0021300525,20140108WASNOP,WAS,NOP
0021300526,20140108LALHOU,LAL,HOU
0021300527,20140108ORLPOR,ORL,POR
0021300528,20140108BOSLAC,BOS,LAC
0021300529,20140109MIANYK,MIA,NYK
0021300530,20140109OKCDEN,OKC,DEN
0021300531,20140110WASIND,WAS,IND
0021300532,20140110DETPHI,DET,PHI
0021300533,20140110HOUATL,HOU,ATL
0021300534,20140110PHXMEM,PHX,MEM
0021300535,20140110CHAMIN,CHA,MIN
0021300536,20140110DALNOP,DAL,NOP
0021300537,20140110MIABKN,MIA,BKN
0021300538,20140110CHIMIL,CHI,MIL
0021300539,20140110CLEUTA,CLE,UTA
0021300540,20140110ORLSAC,ORL,SAC
0021300541,20140110BOSGSW,BOS,GSW
0021300542,20140110LALLAC,LAL,LAC
0021300543,20140111BKNTOR,BKN,TOR
0021300544,20140111HOUWAS,HOU,WAS
0021300545,20140111PHXDET,PHX,DET
0021300546,20140111NYKPHI,NYK,PHI
0021300547,20140111CHACHI,CHA,CHI
0021300548,20140111MILOKC,MIL,OKC
0021300549,20140111NOPDAL,NOP,DAL
0021300550,20140111ORLDEN,ORL,DEN
0021300551,20140111BOSPOR,BOS,POR
0021300552,20140112CLESAC,CLE,SAC
0021300553,20140112ATLMEM,ATL,MEM
0021300554,20140112MINSAS,MIN,SAS
0021300555,20140113MILTOR,MIL,TOR
0021300556,20140113HOUBOS,HOU,BOS
0021300557,20140113PHXNYK,PHX,NYK
0021300558,20140113WASCHI,WAS,CHI
0021300559,20140113SASNOP,SAS,NOP
0021300560,20140113ORLDAL,ORL,DAL
0021300561,20140113DENUTA,DEN,UTA
0021300562,20140114NYKCHA,NYK,CHA
0021300563,20140114SACIND,SAC,IND
0021300564,20140114OKCMEM,OKC,MEM
0021300565,20140114CLELAL,CLE,LAL
0021300566,20140115CHIORL,CHI,ORL
0021300567,20140115CHAPHI,CHA,PHI
0021300568,20140115MIAWAS,MIA,WAS
0021300569,20140115TORBOS,TOR,BOS
0021300570,20140115MEMMIL,MEM,MIL
0021300571,20140115SACMIN,SAC,MIN
0021300572,20140115HOUNOP,HOU,NOP
0021300573,20140115UTASAS,UTA,SAS
0021300574,20140115LALPHX,LAL,PHX
0021300575,20140115CLEPOR,CLE,POR
0021300576,20140115DENGSW,DEN,GSW
0021300577,20140115DALLAC,DAL,LAC
0021300578,20140116NYKIND,NYK,IND
0021300579,20140116BKNATL,BKN,ATL
0021300580,20140116OKCHOU,OKC,HOU
0021300581,20140117LACNYK,LAC,NYK
0021300582,20140117CHAORL,CHA,ORL
0021300583,20140117MIAPHI,MIA,PHI
0021300584,20140117MINTOR,MIN,TOR
0021300585,20140117CHIWAS,CHI,WAS
0021300586,20140117LALBOS,LAL,BOS
0021300587,20140117UTADET,UTA,DET
0021300588,20140117SACMEM,SAC,MEM
0021300589,20140117PORSAS,POR,SAS
0021300590,20140117CLEDEN,CLE,DEN
0021300591,20140117DALPHX,DAL,PHX
0021300592,20140117GSWOKC,GSW,OKC
0021300593,20140118MIACHA,MIA,CHA
0021300594,20140118LACIND,LAC,IND
0021300595,20140118DETWAS,DET,WAS
0021300596,20140118PHICHI,PHI,CHI
0021300597,20140118MILHOU,MIL,HOU
0021300598,20140118UTAMIN,UTA,MIN
0021300599,20140118GSWNOP,GSW,NOP
0021300600,20140118PORDAL,POR,DAL
0021300601,20140119LALTOR,LAL,TOR
0021300602,20140119BOSORL,BOS,ORL
0021300603,20140119SACOKC,SAC,OKC
0021300604,20140119MILSAS,MIL,SAS
0021300605,20140119DENPHX,DEN,PHX
0021300606,20140120DALCLE,DAL,CLE
0021300607,20140120LACDET,LAC,DET
0021300608,20140120TORCHA,TOR,CHA
0021300609,20140120PHIWAS,PHI,WAS
0021300610,20140120BKNNYK,BKN,NYK
0021300611,20140120NOPMEM,NOP,MEM
0021300612,20140120MIAATL,MIA,ATL
0021300613,20140120LALCHI,LAL,CHI
0021300614,20140120PORHOU,POR,HOU
0021300615,20140120INDGSW,IND,GSW
0021300616,20140121ORLBKN,ORL,BKN
0021300617,20140121BOSMIA,BOS,MIA
0021300618,20140121SACNOP,SAC,NOP
0021300619,20140121POROKC,POR,OKC
0021300620,20140121MINUTA,MIN,UTA
0021300621,20140122LACCHA,LAC,CHA
0021300622,20140122CHICLE,CHI,CLE
0021300623,20140122ATLORL,ATL,ORL
0021300624,20140122DALTOR,DAL,TOR
0021300625,20140122BOSWAS,BOS,WAS
0021300626,20140122PHINYK,PHI,NYK
0021300627,20140122SACHOU,SAC,HOU
0021300628,20140122DETMIL,DET,MIL
0021300629,20140122INDPHX,IND,PHX
0021300630,20140122OKCSAS,OKC,SAS
