gameid,season,away,home
20060111SACHOU,2005,SAC,HOU
20060111MILIND,2005,MIL,IND
20060111CHIMIN,2005,CHI,MIN
20060111DALNYK,2005,DAL,NYK
20060111UTAPHI,2005,UTA,PHI
20060111LALPOR,2005,LAL,POR
20060111ORLSEA,2005,ORL,SEA
20060111CHATOR,2005,CHA,TOR
20060111ATLWAS,2005,ATL,WAS
20060112CLELAL,2005,CLE,LAL
20060112GSWPHX,2005,GSW,PHX
20060112DETSAS,2005,DET,SAS
20060113MILCHA,2005,MIL,CHA
20060113WASIND,2005,WAS,IND
20060113NJNMEM,2005,NJN,MEM
20060113DENMIN,2005,DEN,MIN
20060113SACNOK,2005,SAC,NOK
20060113ATLNYK,2005,ATL,NYK
20060113BOSPHI,2005,BOS,PHI
20060113ORLPOR,2005,ORL,POR
20060113MIASEA,2005,MIA,SEA
20060114WASATL,2005,WAS,ATL
20060114INDCHI,2005,IND,CHI
20060114NJNDAL,2005,NJN,DAL
20060114CHADET,2005,CHA,DET
20060114LALGSW,2005,LAL,GSW
20060114NOKHOU,2005,NOK,HOU
20060114SEALAC,2005,SEA,LAC
20060114DENMIL,2005,DEN,MIL
20060114CLEPHX,2005,CLE,PHX
20060114MEMSAS,2005,MEM,SAS
20060114MIAUTA,2005,MIA,UTA
20060115CLEPOR,2005,CLE,POR
20060115ORLSAC,2005,ORL,SAC
20060115NYKTOR,2005,NYK,TOR
20060116HOUATL,2005,HOU,ATL
20060116NOKCHA,2005,NOK,CHA
20060116DENCHI,2005,DEN,CHI
20060116MILDAL,2005,MIL,DAL
20060116BOSDET,2005,BOS,DET
20060116SEAGSW,2005,SEA,GSW
20060116UTALAC,2005,UTA,LAC
20060116MIALAL,2005,MIA,LAL
20060116SASMEM,2005,SAS,MEM
20060116INDNJN,2005,IND,NJN
20060116MINNYK,2005,MIN,NYK
20060116PHIWAS,2005,PHI,WAS
20060117PHXSAC,2005,PHX,SAC
20060117TORUTA,2005,TOR,UTA
20060118DETATL,2005,DET,ATL
20060118MINBOS,2005,MIN,BOS
20060118NYKCHI,2005,NYK,CHI
20060118CLEDEN,2005,CLE,DEN
20060118DALHOU,2005,DAL,HOU
20060118CHAIND,2005,CHA,IND
20060118PHXLAC,2005,PHX,LAC
20060118MEMNOK,2005,MEM,NOK
20060118WASORL,2005,WAS,ORL
20060118NJNPHI,2005,NJN,PHI
20060118TORPOR,2005,TOR,POR
20060118MILSAS,2005,MIL,SAS
20060119DETNYK,2005,DET,NYK
20060119LALSAC,2005,LAL,SAC
20060120MILATL,2005,MIL,ATL
20060120NJNBOS,2005,NJN,BOS
20060120ORLCHA,2005,ORL,CHA
20060120HOUCHI,2005,HOU,CHI
20060120UTADEN,2005,UTA,DEN
20060120CLEGSW,2005,CLE,GSW
20060120DALLAC,2005,DAL,LAC
20060120SASMIA,2005,SAS,MIA
20060120INDMIN,2005,IND,MIN
20060120MEMPHI,2005,MEM,PHI
20060120LALPHX,2005,LAL,PHX
20060120TORSEA,2005,TOR,SEA
20060120NOKWAS,2005,NOK,WAS
20060121CHIIND,2005,CHI,IND
20060121CHAMIL,2005,CHA,MIL
20060121BOSNJN,2005,BOS,NJN
20060121NOKNYK,2005,NOK,NYK
20060121SACORL,2005,SAC,ORL
20060121CLEUTA,2005,CLE,UTA
20060122HOUDET,2005,HOU,DET
20060122GSWLAC,2005,GSW,LAC
20060122TORLAL,2005,TOR,LAL
20060122SACMIA,2005,SAC,MIA
20060122PHIMIN,2005,PHI,MIN
20060122SEAPHX,2005,SEA,PHX
20060122DALPOR,2005,DAL,POR
20060122DENSAS,2005,DEN,SAS
20060122MEMWAS,2005,MEM,WAS
20060123INDATL,2005,IND,ATL
20060123NOKBOS,2005,NOK,BOS
20060123TORDEN,2005,TOR,DEN
20060123LACGSW,2005,LAC,GSW
20060123HOUMIL,2005,HOU,MIL
20060123NJNUTA,2005,NJN,UTA
20060124INDCLE,2005,IND,CLE
20060124MEMMIA,2005,MEM,MIA
20060124DETMIN,2005,DET,MIN
20060124PHXORL,2005,PHX,ORL
20060124SACPHI,2005,SAC,PHI
20060124CHASAS,2005,CHA,SAS
20060125CLEATL,2005,CLE,ATL
20060125WASBOS,2005,WAS,BOS
20060125MILDET,2005,MIL,DET
20060125DALGSW,2005,DAL,GSW
20060125CHAHOU,2005,CHA,HOU
20060125NJNLAC,2005,NJN,LAC
20060125MINMEM,2005,MIN,MEM
20060125SASNOK,2005,SAS,NOK
20060125SACNYK,2005,SAC,NYK
20060125DENPOR,2005,DEN,POR
20060125CHITOR,2005,CHI,TOR
20060125SEAUTA,2005,SEA,UTA
20060126PHXMIA,2005,PHX,MIA
20060126ORLPHI,2005,ORL,PHI
20060126DALSEA,2005,DAL,SEA
20060127PHXATL,2005,PHX,ATL
20060127SACBOS,2005,SAC,BOS
20060127MIACHA,2005,MIA,CHA
20060127WASCHI,2005,WAS,CHI
20060127LACDEN,2005,LAC,DEN
20060127MEMDET,2005,MEM,DET
20060127MINHOU,2005,MIN,HOU
20060127CLEIND,2005,CLE,IND
20060127GSWLAL,2005,GSW,LAL
20060127TORMIL,2005,TOR,MIL
20060127ORLNYK,2005,ORL,NYK
20060127NJNPOR,2005,NJN,POR
20060128ATLCHI,2005,ATL,CHI
20060128UTADAL,2005,UTA,DAL
20060128PORGSW,2005,POR,GSW
20060128DENLAC,2005,DEN,LAC
20060128NOKMEM,2005,NOK,MEM
20060128NYKPHI,2005,NYK,PHI
20060128MINSAS,2005,MIN,SAS
20060128NJNSEA,2005,NJN,SEA
20060128CHAWAS,2005,CHA,WAS
20060129PHXCLE,2005,PHX,CLE
20060129LALDET,2005,LAL,DET
20060129MIAHOU,2005,MIA,HOU
20060129BOSMIL,2005,BOS,MIL
20060129PHIORL,2005,PHI,ORL
20060129SACTOR,2005,SAC,TOR
20060130NYKATL,2005,NYK,ATL
20060130CLECHA,2005,CLE,CHA
20060130HOUMEM,2005,HOU,MEM
20060130LACMIA,2005,LAC,MIA
20060130BOSMIN,2005,BOS,MIN
20060130MILNOK,2005,MIL,NOK
20060130PORSEA,2005,POR,SEA
20060130SASUTA,2005,SAS,UTA
20060131CHIDAL,2005,CHI,DAL
20060131DETNJN,2005,DET,NJN
20060131LALNYK,2005,LAL,NYK
20060131PHXPHI,2005,PHX,PHI
20060131DENSAC,2005,DEN,SAC
20060131INDWAS,2005,IND,WAS
20060201PHXBOS,2005,PHX,BOS
20060201ATLCHA,2005,ATL,CHA
20060201NJNCLE,2005,NJN,CLE
20060201MINDET,2005,MIN,DET
20060201MILHOU,2005,MIL,HOU
20060201LALIND,2005,LAL,IND
20060201DALMEM,2005,DAL,MEM
20060201CHINOK,2005,CHI,NOK
20060201LACORL,2005,LAC,ORL
20060201SASPOR,2005,SAS,POR
20060201GSWSEA,2005,GSW,SEA
20060201WASTOR,2005,WAS,TOR
20060201DENUTA,2005,DEN,UTA
20060202SASGSW,2005,SAS,GSW
20060202CLEMIA,2005,CLE,MIA
20060203ORLATL,2005,ORL,ATL
20060203LACBOS,2005,LAC,BOS
20060203LALCHA,2005,LAL,CHA
20060203SEAHOU,2005,SEA,HOU
20060203DETPHI,2005,DET,PHI
20060203MINPOR,2005,MIN,POR
20060203NYKTOR,2005,NYK,TOR
20060203SACUTA,2005,SAC,UTA
20060204PHICLE,2005,PHI,CLE
20060204SEADAL,2005,SEA,DAL
20060204PORDEN,2005,POR,DEN
20060204MINGSW,2005,MIN,GSW
20060204DETIND,2005,DET,IND
20060204MEMMIL,2005,MEM,MIL
20060204MIANJN,2005,MIA,NJN
20060204LALNOK,2005,LAL,NOK
20060204BOSORL,2005,BOS,ORL
