gameid,away,home,nprds
20150106DETSAS,DET,SAS,4
20150107NOPCHA,NOP,CHA,4
20150107HOUCLE,HOU,CLE,4
20150107MILPHI,MIL,PHI,4
20150107NYKWAS,NYK,WAS,4
20150107MEMATL,MEM,ATL,4
20150107BOSBKN,BOS,BKN,4
20150107UTACHI,UTA,CHI,4
20150107DETDAL,DET,DAL,4
20150107ORLDEN,ORL,DEN,4
20150107PHXMIN,PHX,MIN,4
20150107OKCSAC,OKC,SAC,4
20150107INDGSW,IND,GSW,4
20150107LALLAC,LAL,LAC,4
20150108CHATOR,CHA,TOR,4
20150108HOUNYK,HOU,NYK,4
20150108MIAPOR,MIA,POR,4
20150109BOSIND,BOS,IND,5
20150109PHIBKN,PHI,BKN,4
20150109ATLDET,ATL,DET,4
20150109MEMNOP,MEM,NOP,4
20150109UTAOKC,UTA,OKC,4
20150109CHIWAS,CHI,WAS,4
20150109MINMIL,MIN,MIL,4
20150109PHXSAS,PHX,SAS,4
20150109DENSAC,DEN,SAC,4
20150109CLEGSW,CLE,GSW,4
20150109ORLLAL,ORL,LAL,4
20150110CHANYK,CHA,NYK,4
20150110DALLAC,DAL,LAC,4
20150110BKNDET,BKN,DET,4
20150110INDPHI,IND,PHI,4
20150110BOSTOR,BOS,TOR,4
20150110MILCHI,MIL,CHI,4
20150110UTAHOU,UTA,HOU,4
20150110SASMIN,SAS,MIN,4
20150110ORLPOR,ORL,POR,4
20150111WASATL,WAS,ATL,4
20150111MIALAC,MIA,LAC,4
20150111PHXMEM,PHX,MEM,6
20150111CLESAC,CLE,SAC,4
20150111PORLAL,POR,LAL,4
20150112NOPBOS,NOP,BOS,4
20150112HOUBKN,HOU,BKN,4
20150112DETTOR,DET,TOR,4
20150112ORLCHI,ORL,CHI,4
20150113MININD,MIN,IND,4
20150113ATLPHI,ATL,PHI,4
20150113SASWAS,SAS,WAS,4
20150113CLEPHX,CLE,PHX,4
20150113GSWUTA,GSW,UTA,4
20150113DALSAC,DAL,SAC,5
20150113MIALAL,MIA,LAL,4
20150114SASCHA,SAS,CHA,4
20150114HOUORL,HOU,ORL,4
20150114MEMBKN,MEM,BKN,4
