gameid,season,away,home
20100106NOHOKC,2009,NOH,OKC
20100106TORORL,2009,TOR,ORL
20100106HOUPHX,2009,HOU,PHX
20100106DETSAS,2009,DET,SAS
20100106MEMUTA,2009,MEM,UTA
20100107CHANYK,2009,CHA,NYK
20100108BOSATL,2009,BOS,ATL
20100108CLEDEN,2009,CLE,DEN
20100108SACGSW,2009,SAC,GSW
20100108UTAMEM,2009,UTA,MEM
20100108CHIMIL,2009,CHI,MIL
20100108INDMIN,2009,IND,MIN
20100108NJNNOH,2009,NJN,NOH
20100108TORPHI,2009,TOR,PHI
20100108MIAPHX,2009,MIA,PHX
20100108LALPOR,2009,LAL,POR
20100108DALSAS,2009,DAL,SAS
20100108ORLWAS,2009,ORL,WAS
20100109MEMCHA,2009,MEM,CHA
20100109MINCHI,2009,MIN,CHI
20100109UTADAL,2009,UTA,DAL
20100109PHIDET,2009,PHI,DET
20100109NYKHOU,2009,NYK,HOU
20100109INDOKC,2009,IND,OKC
20100109ATLORL,2009,ATL,ORL
20100109DENSAC,2009,DEN,SAC
20100110MIALAC,2009,MIA,LAC
20100110MILLAL,2009,MIL,LAL
20100110CLEPOR,2009,CLE,POR
20100110NJNSAS,2009,NJN,SAS
20100110BOSTOR,2009,BOS,TOR
20100110NOHWAS,2009,NOH,WAS
20100111ATLBOS,2009,ATL,BOS
20100111DETCHI,2009,DET,CHI
20100111MINDEN,2009,MIN,DEN
20100111CLEGSW,2009,CLE,GSW
20100111TORIND,2009,TOR,IND
20100111NYKOKC,2009,NYK,OKC
20100111NOHPHI,2009,NOH,PHI
20100111MILPHX,2009,MIL,PHX
20100111MIAUTA,2009,MIA,UTA
20100112HOUCHA,2009,HOU,CHA
20100112LACMEM,2009,LAC,MEM
20100112ORLSAC,2009,ORL,SAC
20100112LALSAS,2009,LAL,SAS
20100112DETWAS,2009,DET,WAS
20100113WASATL,2009,WAS,ATL
20100113LALDAL,2009,LAL,DAL
20100113ORLDEN,2009,ORL,DEN
20100113MIAGSW,2009,MIA,GSW
20100113MINHOU,2009,MIN,HOU
20100113PHXIND,2009,PHX,IND
20100113BOSNJN,2009,BOS,NJN
20100113LACNOH,2009,LAC,NOH
20100113SASOKC,2009,SAS,OKC
20100113NYKPHI,2009,NYK,PHI
20100113MILPOR,2009,MIL,POR
20100114CHIBOS,2009,CHI,BOS
20100114CLEUTA,2009,CLE,UTA
20100115PHXATL,2009,PHX,ATL
20100115SASCHA,2009,SAS,CHA
20100115WASCHI,2009,WAS,CHI
20100115OKCDAL,2009,OKC,DAL
20100115NOHDET,2009,NOH,DET
20100115MILGSW,2009,MIL,GSW
20100115MIAHOU,2009,MIA,HOU
20100115LACLAL,2009,LAC,LAL
20100115MINMEM,2009,MIN,MEM
20100115INDNJN,2009,IND,NJN
20100115TORNYK,2009,TOR,NYK
20100115SACPHI,2009,SAC,PHI
20100115ORLPOR,2009,ORL,POR
20100116PHXCHA,2009,PHX,CHA
