20140204CHAGSW,500,-700
20140205LALCLE,250,-300
20140205BOSPHI,-150,130
20140205SASWAS,-130,110
20140205PORNYK,-145,125
20140205PHXHOU,290,-350
20140205DALMEM,120,-140
20140205ATLNOP,125,-145
20140205MINOKC,425,-550
20140205DETORL,-140,120
20140205MILDEN,750,-1100
20140205TORSAC,-105,-115
20140205MIALAC,-110,-110
20140206SASBKN,230,-270
20140206CHIGSW,220,-260
20140207PORIND,200,-240
20140207OKCORL,425,-550
20140207LALPHI,150,-170
20140207CLEWAS,400,-500
20140207SACBOS,-125,105
20140207BKNDET,105,-125
20140207DENNYK,110,-130
20140207UTADAL,400,-500
20140207MINNOP,-110,-110
20140207TORLAC,210,-250
