gameid_num,gameid,away,home
0021400525,20150107NYKWAS,NYK,WAS
0021400526,20150107MEMATL,MEM,ATL
0021400527,20150107BOSBKN,BOS,BKN
0021400528,20150107UTACHI,UTA,CHI
0021400529,20150107DETDAL,DET,DAL
0021400530,20150107ORLDEN,ORL,DEN
0021400531,20150107PHXMIN,PHX,MIN
0021400532,20150107OKCSAC,OKC,SAC
0021400533,20150107INDGSW,IND,GSW
0021400534,20150107LALLAC,LAL,LAC
0021400535,20150108CHATOR,CHA,TOR
0021400536,20150108HOUNYK,HOU,NYK
0021400537,20150108MIAPOR,MIA,POR
0021400538,20150109BOSIND,BOS,IND
0021400539,20150109PHIBKN,PHI,BKN
0021400540,20150109ATLDET,ATL,DET
0021400541,20150109MEMNOP,MEM,NOP
0021400542,20150109UTAOKC,UTA,OKC
0021400543,20150109CHIWAS,CHI,WAS
0021400544,20150109MINMIL,MIN,MIL
0021400545,20150109PHXSAS,PHX,SAS
0021400546,20150109DENSAC,DEN,SAC
0021400547,20150109CLEGSW,CLE,GSW
0021400548,20150109ORLLAL,ORL,LAL
0021400549,20150110CHANYK,CHA,NYK
0021400550,20150110DALLAC,DAL,LAC
0021400551,20150110BKNDET,BKN,DET
0021400552,20150110INDPHI,IND,PHI
0021400553,20150110BOSTOR,BOS,TOR
0021400554,20150110MILCHI,MIL,CHI
0021400555,20150110UTAHOU,UTA,HOU
0021400556,20150110SASMIN,SAS,MIN
0021400557,20150110ORLPOR,ORL,POR
0021400558,20150111WASATL,WAS,ATL
0021400559,20150111MIALAC,MIA,LAC
0021400560,20150111PHXMEM,PHX,MEM
0021400561,20150111CLESAC,CLE,SAC
0021400562,20150111PORLAL,POR,LAL
0021400563,20150112NOPBOS,NOP,BOS
0021400564,20150112HOUBKN,HOU,BKN
0021400565,20150112DETTOR,DET,TOR
0021400566,20150112ORLCHI,ORL,CHI
0021400567,20150113MININD,MIN,IND
0021400568,20150113ATLPHI,ATL,PHI
0021400569,20150113SASWAS,SAS,WAS
0021400570,20150113CLEPHX,CLE,PHX
0021400571,20150113GSWUTA,GSW,UTA
0021400572,20150113DALSAC,DAL,SAC
0021400573,20150113MIALAL,MIA,LAL
0021400574,20150114SASCHA,SAS,CHA
0021400575,20150114HOUORL,HOU,ORL
0021400576,20150114MEMBKN,MEM,BKN
0021400577,20150114NOPDET,NOP,DET
0021400578,20150114PHITOR,PHI,TOR
0021400579,20150114WASCHI,WAS,CHI
0021400580,20150114ATLBOS,ATL,BOS
0021400581,20150114DALDEN,DAL,DEN
0021400582,20150114MIAGSW,MIA,GSW
0021400583,20150114LACPOR,LAC,POR
0021400584,20150115OKCHOU,OKC,HOU
0021400585,20150115NYKMIL,NYK,MIL
0021400586,20150115CLELAL,CLE,LAL
0021400587,20150116DETIND,DET,IND
0021400588,20150116MEMORL,MEM,ORL
0021400589,20150116NOPPHI,NOP,PHI
0021400590,20150116BKNWAS,BKN,WAS
0021400591,20150116CHIBOS,CHI,BOS
0021400592,20150116ATLTOR,ATL,TOR
0021400593,20150116GSWOKC,GSW,OKC
0021400594,20150116DENDAL,DEN,DAL
0021400595,20150116PORSAS,POR,SAS
0021400596,20150116MINPHX,MIN,PHX
0021400597,20150116LALUTA,LAL,UTA
0021400598,20150116MIASAC,MIA,SAC
0021400599,20150116CLELAC,CLE,LAC
0021400600,20150117INDCHA,IND,CHA
0021400601,20150117PHIDET,PHI,DET
0021400602,20150117ATLCHI,ATL,CHI
0021400603,20150117GSWHOU,GSW,HOU
0021400604,20150117PORMEM,POR,MEM
0021400605,20150117WASBKN,WAS,BKN
0021400606,20150117MINDEN,MIN,DEN
0021400607,20150117LACSAC,LAC,SAC
0021400608,20150118NOPTOR,NOP,TOR
0021400609,20150118OKCORL,OKC,ORL
0021400610,20150118UTASAS,UTA,SAS
0021400611,20150119MINCHA,MIN,CHA
0021400612,20150119PHIWAS,PHI,WAS
0021400613,20150119DETATL,DET,ATL
0021400614,20150119BOSLAC,BOS,LAC
0021400615,20150119DENGSW,DEN,GSW
0021400616,20150119DALMEM,DAL,MEM
0021400617,20150119INDHOU,IND,HOU
0021400618,20150119NOPNYK,NOP,NYK
0021400619,20150119TORMIL,TOR,MIL
0021400620,20150119CHICLE,CHI,CLE
0021400621,20150119SACPOR,SAC,POR
0021400622,20150119LALPHX,LAL,PHX
0021400623,20150120OKCMIA,OKC,MIA
0021400624,20150120SASDEN,SAS,DEN
0021400625,20150121MIACHA,MIA,CHA
0021400626,20150121UTACLE,UTA,CLE
0021400627,20150121NYKPHI,NYK,PHI
0021400628,20150121INDATL,IND,ATL
0021400629,20150121ORLDET,ORL,DET
