dataid,gameid
1349608,20140117MEMSAC
1349731,20140117DETUTA
1349174,20140117BOSLAL
1349243,20140117PHIMIA
1349305,20140117WASCHI
1349801,20140117NYKLAC
1349955,20140117TORMIN
1348871,20140117ORLCHA
1348951,20140118DALPOR
1349292,20140118HOUMIL
1349797,20140118NOPGSW
1348983,20140118MINUTA
1348872,20140118CHIPHI
1349907,20140118CHAMIA
1349971,20140118WASDET
1349187,20140118INDLAC
1348790,20140119PHXDEN
1349831,20140119SASMIL
1349366,20140119OKCSAC
1349969,20140119ORLBOS
1349957,20140119TORLAL
1348965,20140120GSWIND
1348876,20140120CHILAL
1349300,20140120HOUPOR
1349745,20140120ATLMIA
1349612,20140120MEMNOP
1349806,20140120NYKBKN
1349316,20140120WASPHI
1349910,20140120CHATOR
1349735,20140120DETLAC
1349468,20140120CLEDAL
1349569,20140121UTAMIN
1349804,20140121NOPSAC
1349371,20140121OKCPOR
1349660,20140121MIABOS
1348991,20140121BKNORL
1348794,20140122PHXIND
1349306,20140122HOUSAC
1349439,20140122MILDET
1349836,20140122SASOKC
1349812,20140122NYKPHI
1349959,20140122TORDAL
1349319,20140122WASBOS
1349472,20140122CLECHI
1349911,20140122CHALAC
1348877,20140122ORLATL
1349157,20140123PORDEN
1349667,20140123MIALAL
1348971,20140124GSWMIN
1349589,20140124SACIND
1348798,20140124PHXWAS
1348880,20140124CHILAC
1349311,20140124HOUMEM
1349816,20140124NYKCHA
1349750,20140124ATLSAS
1348997,20140124BKNDAL
1349178,20140124BOSOKC
1349479,20140124CLEMIL
1349741,20140124DETNOP
1349254,20140124PHITOR
1348881,20140124ORLLAL
1349162,20140125PORMIN
1348809,20140125DENIND
1349573,20140125UTAWAS
1349443,20140125MILATL
1349617,20140125MEMHOU
1349277,20140125PHIOKC
1349960,20140125TORLAC
1349915,20140125CHACHI
1348976,20140126GSWPOR
1349594,20140126SACDEN
1348960,20140126DALDET
1349182,20140126BOSBKN
1349808,20140126NOPORL
1349489,20140126CLEPHX
1349821,20140126NYKLAL
1349670,20140126MIASAS
1349577,20140127UTASAC
1349448,20140127MILLAC
1349377,20140127OKCATL
1348887,20140127CHIMIN
1349003,20140127BKNTOR
1349284,20140127PHIPHX
1348982,20140128GSWWAS
1349166,20140128LALIND
1349165,20140128PORMEM
1349315,20140128HOUSAS
1349746,20140128DETORL
1349824,20140128NYKBOS
1349494,20140128CLENOP
1349757,20140129ATLDET
1349410,20140129LACWAS
1349598,20140129SACMEM
1349839,20140129SASCHI
1348813,20140129DENCHA
1348966,20140129DALHOU
1349452,20140129MILPHX
1348990,20140129MINNOP
1349186,20140129BOSPHI
1349962,20140129TORORL
1349674,20140129MIAOKC
1348988,20140130GSWLAC
1349828,20140130NYKCLE
1349194,20140130INDPHX
1349171,20140131LALCHA
1349580,20140131UTAGSW
1348816,20140131DENTOR
1348974,20140131DALSAC
1349006,20140131BKNOKC
1348992,20140131MINMEM
1349296,20140131PHIATL
1348888,20140131ORLMIL
1349415,20140201LACUTA
1349170,20140201PORTOR
1348802,20140201PHXCHA
1349834,20140201NYKMIA
1349844,20140201SASSAC
1349820,20140201NOPCHI
1349623,20140201MEMMIL
1349320,20140201HOUCLE
1349755,20140201DETPHI
1349762,20140201ATLMIN
1349328,20140201WASOKC
1349201,20140201INDBKN
1349192,20140202BOSORL
1349602,20140203SACCHI
1348820,20140203DENLAC
1349585,20140203UTATOR
1348985,20140203DALCLE
1349826,20140203NOPSAS
1349457,20140203MILNYK
1349383,20140203OKCMEM
1349009,20140203BKNPHI
1349678,20140203MIADET
1349333,20140203WASPOR
1349208,20140203INDORL
1348996,20140204GSWCHA
1348804,20140204PHXCHI
1348998,20140204MINLAL
1349767,20140204ATLIND
1349419,20140205LACMIA
1349607,20140205SACTOR
1348824,20140205DENMIL
1349832,20140205NOPATL
1349837,20140205NYKPOR
1349630,20140205MEMDAL
1349390,20140205OKCMIN
1349324,20140205HOUPHX
1349304,20140205PHIBOS
1349342,20140205WASSAS
1349499,20140205CLELAL
1348895,20140205ORLDET
1349001,20140206GSWCHI
1349014,20140206BKNSAS
1349423,20140207LACTOR
1349838,20140207NOPMIN
1348994,20140207DALUTA
1349843,20140207NYKDEN
1349759,20140207DETBKN
1349199,20140207BOSSAC
1349215,20140207INDPOR
1349312,20140207PHILAL
1349347,20140207WASCLE
1348898,20140207ORLOKC
1348808,20140208PHXGSW
1349590,20140208UTAMIA
1349460,20140208MILHOU
1349004,20140208MINPOR
1349764,20140208DETDEN
1349779,20140208ATLMEM
1349917,20140208CHASAS
1349427,20140209LACPHI
1349354,20140209WASSAC
1349507,20140209CLEMEM
1349204,20140209BOSDAL
1349019,20140209BKNNOP
1348902,20140209ORLIND
1349179,20140209LALCHI
1349398,20140209OKCNYK
1349007,20140210GSWPHI
1349463,20140210MILBOS
1349008,20140210MINHOU
1349770,20140210DETSAS
1349963,20140210TORNOP
1349219,20140210INDDEN
1349185,20140211LALUTA
1349173,20140211POROKC
1348811,20140211PHXMIA
1349633,20140211MEMWAS
1348892,20140211CHIATL
1349919,20140211CHADAL
1349515,20140211CLESAC
1349431,20140212LACPOR
1349011,20140212GSWMIA
1349599,20140212UTAPHI
1349327,20140212HOUWAS
1349467,20140212MILNOP
1349013,20140212MINDEN
1349853,20140212NYKSAC
1349022,20140212BKNCHA
1349210,20140212BOSSAS
1349773,20140212DETCLE
1349231,20140212INDDAL
1349964,20140212TORATL
1348908,20140212ORLMEM
1349190,20140213LALOKC
1348897,20140213CHIBKN
1349436,20140218SASLAC
1348827,20140218PHXDEN
1349005,20140218MIADAL
1349637,20140218NYKMEM
1349471,20140218ORLMIL
1349776,20140218CHADET
1349323,20140218CLEPHI
1349365,20140218TORWAS
1349238,20140218ATLIND
1349196,20140219HOULAL
1349180,20140219SASPOR
1349611,20140219GSWSAC
1349604,20140219BKNUTA
1348815,20140219BOSPHX
1349846,20140219NYKNOP
1349016,20140219INDMIN
1349786,20140219WASATL
1349923,20140219DETCHA
1349965,20140219CHITOR
1349523,20140219ORLCLE
1349015,20140220HOUGSW
1349474,20140220DENMIL
1349405,20140220MIAOKC
1349202,20140221BOSLAL
1349184,20140221UTAPOR
1348818,20140221SASPHX
1349641,20140221LACMEM
1349066,20140221DENCHI
1349782,20140221ATLDET
1349330,20140221DALPHI
1349926,20140221NOPCHA
1349966,20140221CLETOR
1348914,20140221NYKORL
1349020,20140222BKNGSW
1349613,20140222BOSSAC
1349609,20140222MINUTA
1349476,20140222INDMIL
1349794,20140222NYKATL
1349789,20140222DALDET
1349929,20140222MEMCHA
1349372,20140222NOPWAS
1348822,20140223HOUPHX
1349207,20140223BKNLAL
